,0
0,2019-01-02
1,2019-01-03
2,2019-01-04
3,2019-01-07
4,2019-01-08
5,2019-01-09
6,2019-01-10
7,2019-01-11
8,2019-01-14
9,2019-01-15
10,2019-01-16
11,2019-01-17
12,2019-01-18
13,2019-01-21
14,2019-01-22
15,2019-01-23
16,2019-01-24
17,2019-01-25
18,2019-01-28
19,2019-01-29
20,2019-01-30
21,2019-01-31
22,2019-02-01
23,2019-02-11
24,2019-02-12
25,2019-02-13
26,2019-02-14
27,2019-02-15
28,2019-02-18
29,2019-02-19
30,2019-02-20
31,2019-02-21
32,2019-02-22
33,2019-02-25
34,2019-02-26
35,2019-02-27
36,2019-02-28
37,2019-03-01
38,2019-03-04
39,2019-03-05
40,2019-03-06
41,2019-03-07
42,2019-03-08
43,2019-03-11
44,2019-03-12
45,2019-03-13
46,2019-03-14
47,2019-03-15
48,2019-03-18
49,2019-03-19
50,2019-03-20
51,2019-03-21
52,2019-03-22
53,2019-03-25
54,2019-03-26
55,2019-03-27
56,2019-03-28
57,2019-03-29
58,2019-04-01
59,2019-04-02
60,2019-04-03
61,2019-04-04
62,2019-04-08
63,2019-04-09
64,2019-04-10
65,2019-04-11
66,2019-04-12
67,2019-04-15
68,2019-04-16
69,2019-04-17
70,2019-04-18
71,2019-04-19
72,2019-04-22
73,2019-04-23
74,2019-04-24
75,2019-04-25
76,2019-04-26
77,2019-04-29
78,2019-04-30
79,2019-05-06
80,2019-05-07
81,2019-05-08
82,2019-05-09
83,2019-05-10
84,2019-05-13
85,2019-05-14
86,2019-05-15
87,2019-05-16
88,2019-05-17
89,2019-05-20
90,2019-05-21
91,2019-05-22
92,2019-05-23
93,2019-05-24
94,2019-05-27
95,2019-05-28
96,2019-05-29
97,2019-05-30
98,2019-05-31
99,2019-06-03
100,2019-06-04
101,2019-06-05
102,2019-06-06
103,2019-06-10
104,2019-06-11
105,2019-06-12
106,2019-06-13
107,2019-06-14
108,2019-06-17
109,2019-06-18
110,2019-06-19
111,2019-06-20
112,2019-06-21
113,2019-06-24
114,2019-06-25
115,2019-06-26
116,2019-06-27
117,2019-06-28
118,2019-07-01
119,2019-07-02
120,2019-07-03
121,2019-07-04
122,2019-07-05
123,2019-07-08
124,2019-07-09
125,2019-07-10
126,2019-07-11
127,2019-07-12
128,2019-07-15
129,2019-07-16
130,2019-07-17
131,2019-07-18
132,2019-07-19
133,2019-07-22
134,2019-07-23
135,2019-07-24
136,2019-07-25
137,2019-07-26
138,2019-07-29
139,2019-07-30
140,2019-07-31
141,2019-08-01
142,2019-08-02
143,2019-08-05
144,2019-08-06
145,2019-08-07
146,2019-08-08
147,2019-08-09
148,2019-08-12
149,2019-08-13
150,2019-08-14
151,2019-08-15
152,2019-08-16
153,2019-08-19
154,2019-08-20
155,2019-08-21
156,2019-08-22
157,2019-08-23
158,2019-08-26
159,2019-08-27
160,2019-08-28
161,2019-08-29
162,2019-08-30
163,2019-09-02
164,2019-09-03
165,2019-09-04
166,2019-09-05
167,2019-09-06
168,2019-09-09
169,2019-09-10
170,2019-09-11
171,2019-09-12
172,2019-09-16
173,2019-09-17
174,2019-09-18
175,2019-09-19
176,2019-09-20
177,2019-09-23
178,2019-09-24
179,2019-09-25
180,2019-09-26
181,2019-09-27
182,2019-09-30
183,2019-10-08
184,2019-10-09
185,2019-10-10
186,2019-10-11
187,2019-10-14
188,2019-10-15
189,2019-10-16
190,2019-10-17
191,2019-10-18
192,2019-10-21
193,2019-10-22
194,2019-10-23
195,2019-10-24
196,2019-10-25
197,2019-10-28
198,2019-10-29
199,2019-10-30
200,2019-10-31
201,2019-11-01
202,2019-11-04
203,2019-11-05
204,2019-11-06
205,2019-11-07
206,2019-11-08
207,2019-11-11
208,2019-11-12
209,2019-11-13
210,2019-11-14
211,2019-11-15
212,2019-11-18
213,2019-11-19
214,2019-11-20
215,2019-11-21
216,2019-11-22
217,2019-11-25
218,2019-11-26
219,2019-11-27
220,2019-11-28
221,2019-11-29
222,2019-12-02
223,2019-12-03
