序号,证券代码,证券简称,自由流通市值(亿元),总市值(亿元),申万一级行业,在原来数据中的序号
0,000001.XSHE,平安银行,805.29,1610.58,银行,0
1,000002.XSHE,万科A,1158.15,2629.53,房地产,1
2,000063.XSHE,中兴通讯,466.07,821.34,通信,51
3,000069.XSHE,华侨城A,260.48,520.96,房地产,55
4,000100.XSHE,TCL科技,265.57,331.97,电子,63
5,000157.XSHE,中联重科,159.99,277.98,机械设备,69
6,000166.XSHE,申万宏源,275.16,917.21,非银金融,72
7,000333.XSHE,美的集团,1709.88,2455.99,家用电器,74
8,000338.XSHE,潍柴动力,372.94,615.79,汽车,75
9,000402.XSHE,金融街,76.99,192.49,房地产,78
10,000408.XSHE,藏格矿业,67.11,223.7,基础化工,82
11,000413.XSHE,东旭光电,172.63,257.86,电子,86
12,000415.XSHE,渤海租赁,66.79,222.64,非银金融,87
13,000423.XSHE,东阿阿胶,181.07,258.67,医药生物,95
14,000425.XSHE,徐工机械,151.82,253.03,机械设备,96
15,000503.XSHE,国新健康,114.19,142.73,计算机,105
16,000538.XSHE,云南白药,385.11,770.22,医药生物,136
17,000553.XSHE,安道麦A,22.89,223.37,基础化工,149
18,000568.XSHE,泸州老窖,297.78,595.57,食品饮料,163
19,000625.XSHE,长安汽车,128.53,316.49,汽车,207
20,000627.XSHE,天茂集团,83.15,277.17,非银金融,209
21,000630.XSHE,铜陵有色,124.42,207.37,有色金属,212
22,000651.XSHE,格力电器,1717.61,2147.01,家用电器,222
23,000661.XSHE,长春高新,238.16,297.7,医药生物,228
24,000671.XSHE,ST阳光城,84.08,210.2,房地产,237
25,000703.XSHE,恒逸石化,151.37,302.74,石油石化,262
26,000709.XSHE,河钢股份,120.63,301.57,钢铁,266
27,000725.XSHE,京东方A,623.4,915.2,电子,280
28,000728.XSHE,国元证券,140.94,234.91,非银金融,283
29,000768.XSHE,中航西飞,183.28,366.57,国防军工,308
30,000776.XSHE,广发证券,375.28,966.35,非银金融,309
31,000783.XSHE,长江证券,199.34,284.77,非银金融,315
32,000786.XSHE,北新建材,116.24,232.48,建筑材料,317
33,000792.XSHE,盐湖股份,97.23,194.47,基础化工,323
34,000826.XSHE,启迪环境,74.32,148.64,环保,351
35,000839.XSHE,ST国安,92.47,132.1,通信,361
36,000858.XSHE,五粮液,987.48,1974.96,食品饮料,367
37,000876.XSHE,新希望,153.46,306.93,农林牧渔,376
38,000895.XSHE,双汇发展,233.51,778.37,食品饮料,391
39,000898.XSHE,鞍钢股份,94.63,371.15,钢铁,393
40,000938.XSHE,紫光股份,63.86,456.15,计算机,428
41,000959.XSHE,首钢股份,59.19,197.29,钢铁,439
42,000961.XSHE,中南建设,104.06,208.12,房地产,441
43,000963.XSHE,华东医药,192.92,385.83,医药生物,443
44,000983.XSHE,山西焦煤,86.5,173,煤炭,461
45,001965.XSHE,招商公路,44.65,496.11,交通运输,534
46,001979.XSHE,招商蛇口,411.41,1371.36,房地产,535
47,002001.XSHE,新和成,129.01,322.51,医药生物,536
48,002007.XSHE,华兰生物,183.04,305.07,医药生物,542
49,002008.XSHE,大族激光,259.17,323.96,机械设备,543
50,002024.XSHE,ST易购,366.82,917.04,商贸零售,559
51,002027.XSHE,分众传媒,384.56,769.12,传媒,562
52,002032.XSHE,苏泊尔,86.23,431.15,家用电器,567
53,002044.XSHE,美年健康,280,466.67,医药生物,579
54,002050.XSHE,三花智控,135.19,270.38,家用电器,585
55,002065.XSHE,东华软件,129.92,216.53,计算机,600
56,002081.XSHE,金螳螂,128.46,214.11,建筑装饰,616
57,002085.XSHE,万丰奥威,101.69,169.48,汽车,620
